product_id,price,return_rate,seller_id
p201,49.99,0.12,s501
p202,89.99,0.08,s502
p203,29.99,0.42,s503
p204,149.99,0.15,s504
p205,199.99,0.03,s505
p206,59.99,0.11,s506
p207,129.99,0.09,s507
p208,24.99,0.18,s503
p209,299.99,0.05,s508
p210,39.99,0.24,s503
p211,179.99,0.07,s509
p212,69.99,0.13,s510
p213,89.99,0.33,s503
p214,219.99,0.04,s511
p215,34.99,0.27,s503
p216,159.99,0.06,s512
p217,49.99,0.15,s513
p218,269.99,0.02,s514
p219,39.99,0.19,s503
p220,99.99,0.13,s515
p221,189.99,0.08,s516
p222,29.99,0.25,s503
p223,149.99,0.10,s517
p224,59.99,0.17,s518
p225,279.99,0.03,s519
p226,44.99,0.26,s503
p227,109.99,0.15,s520
p228,199.99,0.09,s521
p229,39.99,0.31,s503
p230,89.99,0.13,s522
p231,149.99,0.18,s523
p232,299.99,0.04,s524
p233,24.99,0.35,s503
p234,79.99,0.14,s525
p235,169.99,0.10,s526
p236,59.99,0.21,s503
p237,119.99,0.16,s527
p238,209.99,0.07,s528
p239,34.99,0.28,s503
p240,99.99,0.12,s529
p241,189.99,0.19,s530
p242,49.99,0.32,s503
p243,139.99,0.11,s531
p244,69.99,0.17,s532
p245,259.99,0.05,s533
p246,29.99,0.36,s503
p247,109.99,0.15,s534
p248,179.99,0.09,s535
p249,39.99,0.24,s503
p250,89.99,0.13,s536
p251,149.99,0.20,s537
p252,229.99,0.06,s538
p253,54.99,0.33,s503
p254,129.99,0.14,s539
p255,199.99,0.08,s540
p256,44.99,0.25,s503
p257,99.99,0.16,s541
p258,169.99,0.11,s542
p259,79.99,0.38,s503
p260,139.99,0.12,s543
p261,289.99,0.04,s544
p262,39.99,0.27,s503
p263,119.99,0.15,s545
p264,209.99,0.10,s546
p265,69.99,0.34,s503
p266,159.99,0.13,s547
p267,249.99,0.07,s548
p268,49.99,0.23,s503
p269,89.99,0.17,s549
p270,179.99,0.14,s550
p271,59.99,0.39,s503
p272,129.99,0.16,s551
p273,199.99,0.09,s552
p274,34.99,0.26,s503
p275,109.99,0.18,s553
p276,169.99,0.11,s554
p277,79.99,0.40,s503
p278,149.99,0.15,s555
p279,219.99,0.08,s556
p280,29.99,0.29,s503
p281,99.99,0.19,s557
p282,189.99,0.12,s558
p283,69.99,0.35,s503
p284,139.99,0.17,s559
p285,269.99,0.06,s560
p286,54.99,0.22,s503
p287,119.99,0.20,s561
p288,199.99,0.13,s562
p289,89.99,0.41,s503
p290,159.99,0.16,s563
p291,239.99,0.09,s564
p292,49.99,0.30,s503
