review_id,text,rating,verified,product_id,ip_id,label
r1001,"Good product, works as expected",4,1,p201,ip101,0
r1002,"Poor quality, wouldn't recommend",2,0,p202,ip102,0
r1003,"AMAZING!!! BEST PURCHASE EVER!!!",5,0,p203,ip103,1
r1004,"Decent value for money",3,1,p204,ip104,0
r1005,"PERFECT! EXACTLY WHAT I NEEDED!",5,0,p203,ip103,1
r1006,"Fast shipping, good packaging",4,1,p205,ip105,0
r1007,"⭐⭐⭐⭐⭐ EXCELLENT PRODUCT!",5,0,p203,ip103,1
r1008,"Average performance",3,0,p206,ip106,0
r1009,"LOVE IT! BUY AGAIN FOR SURE!",5,0,p203,ip103,1
r1010,"Stopped working after 2 weeks",1,1,p207,ip107,0
r1011,"TOP QUALITY!!! HIGHLY RECOMMEND!",5,0,p203,ip103,1
r1012,"Accurate product description",4,1,p208,ip108,0
r1013,"WOW! EXCEEDED EXPECTATIONS!",5,0,p203,ip103,1
r1014,"Defective unit received",1,0,p209,ip109,0
r1015,"PERFECT GIFT IDEA!!!",5,0,p203,ip103,1
r1016,"Good customer service experience",5,1,p210,ip110,0
r1017,"BEST PRODUCT IN THIS CATEGORY!",5,0,p203,ip103,1
r1018,"Overpriced for what you get",2,1,p211,ip111,0
r1019,"A+++ SELLER!!! FIVE STARS!",5,0,p203,ip103,1
r1020,"Met my requirements",4,0,p212,ip112,0
r1021,"Not durable, broke quickly",1,0,p213,ip113,0
r1022,"EXCEPTIONAL VALUE!!!",5,0,p203,ip103,1
r1023,"Works well for daily use",4,1,p214,ip114,0
r1024,"⭐⭐⭐⭐⭐ PERFECT SCORE!",5,0,p203,ip103,1
r1025,"Mediocre at best",3,0,p215,ip115,0
r1026,"HIGHLY SATISFIED CUSTOMER!",5,0,p203,ip103,1
r1027,"Difficult to assemble",2,1,p216,ip116,0
r1028,"BETTER THAN EXPECTED!!!",5,0,p203,ip103,1
r1029,"Average product",3,0,p217,ip117,0
r1030,"EXCELLENT BUY RECOMMENDED!",5,0,p203,ip103,1
r1031,"Poor battery life",1,1,p218,ip118,0
r1032,"PERFECT SOLUTION FOR ME!",5,0,p203,ip103,1
r1033,"Good for beginners",4,0,p219,ip119,0
r1034,"WILL TELL ALL MY FRIENDS!!!",5,0,p203,ip103,1
r1035,"Not worth the price",2,1,p220,ip120,0
r1036,"EXCEEDINGLY PLEASED!!!",5,0,p203,ip103,1
r1037,"Functional but not great",3,0,p221,ip121,0
r1038,"BEST DECISION EVER MADE!",5,0,p203,ip103,1
r1039,"Packaging was damaged",2,1,p222,ip122,0
r1040,"HIGHLY RECOMMEND THIS ITEM!",5,0,p203,ip103,1
r1041,"Serves its purpose",3,0,p223,ip123,0
r1042,"PERFECT FIT!!!",5,0,p203,ip103,1
r1043,"Subpar materials",2,1,p224,ip124,0
r1044,"EXCELLENT ALL AROUND!!!",5,0,p203,ip103,1
r1045,"Fair quality",3,0,p225,ip125,0
r1046,"BEST THING I OWN!!!",5,0,p203,ip103,1
r1047,"Disappointing performance",1,1,p226,ip126,0
r1048,"LOVE EVERYTHING ABOUT IT!!!",5,0,p203,ip103,1
r1049,"Good for light use",4,0,p227,ip127,0
r1050,"EXCELLENT DESIGN!!!",5,0,p203,ip103,1
r1051,"Broke after minimal use",1,1,p228,ip128,0
r1052,"PERFECT FOR MY NEEDS!!!",5,0,p203,ip103,1
r1053,"Meets basic requirements",3,0,p229,ip129,0
r1054,"WOW AMAZING!!!",5,0,p203,ip103,1
r1055,"Not high quality",2,1,p230,ip130,0
r1056,"EXCELLENT CUSTOMER SERVICE!!!",5,0,p203,ip103,1
r1057,"Adequate performance",3,0,p231,ip131,0
r1058,"BEST PURCHASE THIS YEAR!",5,0,p203,ip103,1
r1059,"Inconsistent results",2,1,p232,ip132,0
r1060,"HIGHLY IMPRESSED!!!",5,0,p203,ip103,1
r1061,"Good starter product",4,0,p233,ip133,0
r1062,"PERFECTLY DESIGNED!!!",5,0,p203,ip103,1
r1063,"Unreliable",1,1,p234,ip134,0
r1064,"EXCEEDS ALL STANDARDS!!!",5,0,p203,ip103,1
r1065,"Satisfactory",3,0,p235,ip135,0
r1066,"BEST VALUE FOR MONEY!!!",5,0,p203,ip103,1
r1067,"Poor workmanship",2,1,p236,ip136,0
r1068,"LOVE THIS PRODUCT!!!",5,0,p203,ip103,1
r1069,"Functional design",3,0,p237,ip137,0
r1070,"EXCELLENT PERFORMANCE!!!",5,0,p203,ip103,1
r1071,"Not recommended",1,1,p238,ip138,0
r1072,"PERFECT ADDITION!!!",5,0,p203,ip103,1
r1073,"Good but not excellent",3,0,p239,ip139,0
r1074,"HIGHLY RECOMMENDED BY ME!!!",5,0,p203,ip103,1
r1075,"Defective on arrival",1,1,p240,ip140,0
r1076,"BEST ON THE MARKET!!!",5,0,p203,ip103,1
r1077,"Met expectations",3,0,p241,ip141,0
r1078,"EXCELLENT CRAFTSMANSHIP!!!",5,0,p203,ip103,1
r1079,"Inferior quality",2,1,p242,ip142,0
r1080,"PERFECT GIFT ITEM!!!",5,0,p203,ip103,1
r1081,"Good for price",4,0,p243,ip143,0
r1082,"WILL BUY AGAIN!!!",5,0,p203,ip103,1
r1083,"Flawed design",2,1,p244,ip144,0
r1084,"EXCELLENT PRODUCT!!!",5,0,p203,ip103,1
r1085,"Satisfied customer",4,0,p245,ip145,0
